episode	season	gold_n_scenes	gold_n_segments	pred_n_scenes	gold_n_scenes_win	gold_n_segments_win	pred_n_scenes_win
s03e01a	3	12	20	14	12	20	14
s03e01b	3	9	17	12	9	17	12
s03e02a	3	5	30	13	5	30	13
s03e02b	3	2	21	12	2	21	12
s03e03a	3	9	14	13	9	14	13
s03e03b	3	10	15	13	10	15	13
s03e04a	3	11	15	12	11	15	12
s03e04b	3	12	19	12	12	19	12
s03e05a	3	12	18	13	12	18	13
s03e05b	3	10	17	17	10	17	17
s03e06a	3	13	26	16	13	26	16
s03e06b	3	9	13	15	9	13	15
s03e07a	3	12	27	14	12	27	14
s03e07b	3	11	16	16	11	16	16
s03e08a	3	10	17	14	10	17	14
s03e08b	3	11	15	13	11	15	13
s03e09a	3	5	12	24	5	12	24
s03e09b	3	4	11	27	4	11	27
s03e10a	3	11	16	15	11	16	15
s03e10b	3	12	25	15	12	25	15
s03e11a	3	12	21	20	12	21	20
s03e11b	3	10	18	16	10	18	16
s03e12a	3	13	25	13	13	25	13
s03e12b	3	13	19	18	11	17	18
s03e13a	3	14	22	22	14	22	22
s03e13b	3	11	19	24	11	19	24
s03e14a	3	12	21	18	12	21	18
s03e14b	3	13	16	14	13	16	14
s03e15a	3	12	19	16	12	19	16
s03e15b	3	12	20	23	12	20	23
s03e16a	3	13	20	17	13	20	17
s03e16b	3	3	8	42	3	8	42
s03e17a	3	8	17	20	8	17	20
s03e17b	3	7	12	20	7	12	20
s03e18a	3	11	22	14	11	22	14
s03e18b	3	15	22	19	15	22	19
s03e19a	3	12	20	14	12	20	14
s03e19b	3	12	16	17	12	16	17
s03e20a	3	11	23	17	11	23	17
s03e20b	3	12	21	16	12	21	16
s03e21a	3	13	25	16	13	25	16
s03e21b	3	12	19	21	12	19	21
s03e22a	3	12	30	23	12	30	23
s03e22b	3	9	22	18	9	22	18
s03e23a	3	13	23	15	13	23	15
s03e23b	3	13	18	14	13	18	14
s03e24a	3	15	27	23	15	27	23
s03e24b	3	12	14	12	12	14	12
s03e25a	3	10	21	18	10	21	18
s03e25b	3	10	26	20	10	26	20
s04e01a	4	16	27	23	16	27	23
s04e01b	4	8	14	16	8	14	16
s04e02a	4	13	17	16	13	17	16
s04e02b	4	13	22	14	13	22	14
s04e03a	4	12	27	22	12	27	22
s04e03b	4	13	20	15	13	20	15
s04e04a	4	14	25	16	13	24	16
s04e04b	4	15	21	19	14	20	19
s04e05a	4	11	25	15	11	25	15
s04e05b	4	14	27	18	14	27	18
s04e06a	4	11	19	16	11	19	16
s04e06b	4	11	23	18	11	23	18
s04e07a	4	11	21	18	11	21	18
s04e07b	4	12	15	17	12	15	17
s04e08a	4	10	19	21	10	19	21
s04e08b	4	5	18	21	5	18	21
s04e09a	4	17	23	12	16	22	12
s04e09b	4	11	17	10	11	17	10
s04e10a	4	13	17	13	13	17	13
s04e10b	4	12	17	15	12	17	15
s04e11a	4	9	12	19	9	12	19
s04e11b	4	9	16	17	9	16	17
s04e12a	4	10	16	16	9	14	16
s04e12b	4	10	20	22	10	20	22
s04e13a	4	14	27	22	13	26	22
s04e13b	4	10	22	16	10	22	16
s04e14a	4	7	25	16	7	25	16
s04e14b	4	11	20	15	11	20	15
s04e15a	4	11	20	12	11	20	12
s04e15b	4	11	14	23	11	14	23
s04e16a	4	10	20	22	10	20	22
s04e16b	4	7	15	21	7	15	21
s04e17a	4	15	20	15	14	19	15
s04e17b	4	14	19	22	14	19	22
s04e18a	4	10	19	14	10	19	14
s04e18b	4	11	20	16	11	20	16
s04e19a	4	8	14	10	8	14	10
s04e19b	4	6	21	22	6	21	22
s04e20a	4	13	21	14	13	20	14
s04e20b	4	11	21	19	10	20	19
s04e21a	4	5	24	30	4	22	30
s04e21b	4	4	23	27	2	21	27
s04e22a	4	13	22	12	13	22	12
s04e22b	4	11	25	11	11	25	11
s04e23a	4	16	30	19	16	30	19
s04e23b	4	14	23	16	14	23	16
s04e23c	4	15	25	17	15	25	17
s04e23d	4	11	25	15	9	23	15
s05e01a	5	6	23	20	6	23	20
s05e01b	5	12	24	19	12	24	19
s05e02a	5	10	25	22	10	25	22
s05e02b	5	6	20	20	6	20	20
s05e03a	5	7	25	16	7	25	16
s05e03b	5	4	24	26	4	24	26
s05e04a	5	11	21	16	11	21	16
s05e04b	5	11	23	18	11	23	18
s05e05a	5	13	28	14	12	25	14
s05e05b	5	11	23	20	11	23	20
s05e06a	5	13	26	21	13	26	21
s05e06b	5	9	21	23	9	21	23
s05e07a	5	15	27	22	15	27	22
s05e07b	5	15	28	26	15	28	26
s05e08a	5	4	21	18	4	21	18
s05e08b	5	4	25	20	4	25	20
s05e09a	5	12	24	15	12	24	15
s05e09b	5	10	15	16	10	15	16
s05e10a	5	14	23	18	14	23	18
s05e10b	5	14	21	20	14	21	20
s05e11a	5	9	17	18	9	17	18
s05e11b	5	10	23	20	10	23	20
s05e12a	5	15	23	21	15	23	21
s05e12b	5	9	20	18	9	20	18
s05e13a	5	15	23	25	15	23	25
s05e13b	5	7	9	17	7	9	17
s05e14a	5	11	21	14	11	21	14
s05e14b	5	7	28	26	7	28	26
s05e15a	5	9	17	15	9	17	15
s05e15b	5	12	24	17	12	24	17
s05e16a	5	9	17	15	9	16	15
s05e16b	5	14	22	25	14	22	25
s05e17a	5	15	37	16	15	37	16
s05e17b	5	13	28	17	13	26	17
s05e18a	5	15	28	13	15	28	13
s05e18b	5	10	25	20	10	25	20
s05e19a	5	6	20	16	6	20	16
s05e19b	5	6	27	16	6	27	16
s05e20a	5	14	21	17	14	21	17
s05e20b	5	9	14	12	9	14	12
s05e21a	5	9	20	17	9	20	17
s05e21b	5	13	33	18	13	33	18
s05e22a	5	10	20	16	10	20	16
s05e22b	5	14	23	13	14	23	13
s05e23a	5	10	23	22	10	23	22
s05e23b	5	12	20	16	12	20	16
s05e23c	5	15	23	15	15	23	15
s05e23d	5	11	21	23	11	21	23
s06e01a	6	8	17	20	8	17	20
s06e01b	6	16	22	14	16	22	14
s06e02a	6	9	19	13	9	19	13
s06e02b	6	10	14	12	10	14	12
s06e03a	6	8	16	9	7	15	9
s06e03b	6	9	16	12	9	16	12
s06e04a	6	13	23	12	13	23	12
s06e04b	6	20	29	24	20	29	24
s06e05a	6	10	21	14	10	21	14
s06e05b	6	11	25	13	11	25	13
s06e06a	6	10	19	14	10	19	14
s06e06b	6	11	17	15	11	17	15
s06e07a	6	13	18	14	13	18	14
s06e07b	6	9	16	13	9	16	13
s06e08a	6	14	21	11	13	20	11
s06e08b	6	17	23	14	17	23	14
s06e09a	6	8	22	38	8	22	38
s06e09b	6	4	21	37	4	21	37
s06e10a	6	12	30	27	12	30	27
s06e10b	6	7	17	18	7	17	18
s06e11a	6	10	16	10	10	16	10
s06e11b	6	11	24	15	11	24	15
s06e12a	6	13	19	17	13	19	17
s06e12b	6	8	18	15	8	18	15
s06e13a	6	7	17	14	7	17	14
s06e13b	6	12	33	18	12	33	18
s06e14a	6	10	15	16	10	15	16
s06e14b	6	11	30	16	11	30	16
s06e15a	6	7	19	14	7	19	14
s06e15b	6	13	27	15	13	26	15
s06e15c	6	15	26	17	15	26	17
s06e15d	6	15	23	16	14	22	16
s06e17a	6	13	24	12	12	23	12
s06e17b	6	13	31	24	13	31	24
s06e18a	6	14	25	15	14	25	15
s06e18b	6	12	26	21	12	26	21
s06e19a	6	12	18	14	12	18	14
s06e19b	6	8	21	17	8	21	17
s06e20a	6	10	33	20	9	32	20
s06e20b	6	8	43	24	8	43	24
s06e21a	6	11	22	13	11	22	13
s06e21b	6	12	26	14	12	25	14
s06e22a	6	12	25	18	12	25	18
s06e22b	6	11	28	17	11	28	17
s06e23a	6	13	27	17	13	27	17
s06e23b	6	12	19	19	12	19	19
s06e24a	6	11	28	19	11	28	19
s06e24b	6	13	28	19	13	28	19
s06e24c	6	11	18	17	11	18	17
s06e24d	6	7	15	18	7	15	18
